line_id,sku,line_name,capable,rate_kgph
5,280227,P14,1,689.0
6,280227,P15,0,630.0
7,280227,P16,0,800.0
8,280227,P17,0,1454.0
9,280227,P18,0,1486.0
10,280227,P19,0,1454.0
11,280227,P20,0,1475.0
12,280227,P21,0,1432.0
13,280227,P22,0,1356.0
0,280256,P09,0,716.0
1,280256,P10,1,635.0
2,280256,P11,0,770.0
3,280256,P12,0,608.0
4,280256,P13,1,748.0
5,280256,P14,0,689.0
6,280256,P15,0,630.0
7,280256,P16,0,800.0
8,280256,P17,0,1454.0
9,280256,P18,0,1486.0
10,280256,P19,1,1454.0
11,280256,P20,0,1475.0
12,280256,P21,0,1432.0
13,280256,P22,0,1356.0
0,280264,P09,1,716.0
1,280264,P10,0,635.0
2,280264,P11,1,770.0
3,280264,P12,0,608.0
4,280264,P13,1,748.0
5,280264,P14,0,689.0
6,280264,P15,1,630.0
7,280264,P16,1,800.0
8,280264,P17,0,1454.0
9,280264,P18,0,1486.0
10,280264,P19,0,1454.0
11,280264,P20,1,1475.0
12,280264,P21,0,1432.0
13,280264,P22,0,1356.0
0,280281,P09,0,716.0
1,280281,P10,0,635.0
2,280281,P11,1,770.0
3,280281,P12,0,608.0
4,280281,P13,0,748.0
5,280281,P14,0,689.0
6,280281,P15,0,630.0
7,280281,P16,0,800.0
8,280281,P17,0,1454.0
9,280281,P18,0,1486.0
10,280281,P19,0,1454.0
11,280281,P20,0,1475.0
12,280281,P21,0,1432.0
13,280281,P22,0,1356.0
0,280298,P09,0,716.0
1,280298,P10,0,635.0
2,280298,P11,1,770.0
3,280298,P12,0,608.0
4,280298,P13,0,748.0
5,280298,P14,0,689.0
6,280298,P15,0,630.0
7,280298,P16,0,800.0
8,280298,P17,0,1454.0
9,280298,P18,0,1486.0
10,280298,P19,0,1454.0
11,280298,P20,0,1475.0
12,280298,P21,0,1432.0
13,280298,P22,0,1356.0
0,280318,P09,1,716.0
1,280318,P10,0,635.0
2,280318,P11,1,770.0
3,280318,P12,0,608.0
4,280318,P13,1,748.0
5,280318,P14,0,689.0
6,280318,P15,1,630.0
7,280318,P16,1,800.0
8,280318,P17,1,1454.0
9,280318,P18,1,1486.0
10,280318,P19,0,1454.0
11,280318,P20,1,1475.0
12,280318,P21,0,1432.0
13,280318,P22,1,1356.0
0,280322,P09,0,716.0
1,280322,P10,0,635.0
2,280322,P11,0,770.0
3,280322,P12,0,608.0
4,280322,P13,0,748.0
5,280322,P14,0,689.0
6,280322,P15,0,630.0
7,280322,P16,0,800.0
8,280322,P17,0,1454.0
9,280322,P18,0,1486.0
10,280322,P19,0,1454.0
11,280322,P20,0,1475.0
12,280322,P21,0,1432.0
13,280322,P22,0,1356.0
0,280323,P09,1,716.0
1,280323,P10,0,635.0
2,280323,P11,0,770.0
3,280323,P12,0,608.0
4,280323,P13,0,748.0
5,280323,P14,0,689.0
6,280323,P15,1,630.0
7,280323,P16,1,800.0
8,280323,P17,1,1454.0
9,280323,P18,1,1486.0
10,280323,P19,1,1454.0
11,280323,P20,1,1475.0
12,280323,P21,1,1432.0
13,280323,P22,1,1356.0
0,280324,P09,1,716.0
1,280324,P10,0,635.0
2,280324,P11,0,770.0
3,280324,P12,0,608.0
4,280324,P13,1,748.0
5,280324,P14,0,689.0
6,280324,P15,1,630.0
7,280324,P16,1,800.0
8,280324,P17,1,1454.0
9,280324,P18,1,1486.0
10,280324,P19,1,1454.0
11,280324,P20,1,1475.0
12,280324,P21,1,1432.0
13,280324,P22,1,1356.0
0,280325,P09,1,716.0
1,280325,P10,1,635.0
2,280325,P11,1,770.0
3,280325,P12,0,608.0
4,280325,P13,1,748.0
5,280325,P14,0,689.0
6,280325,P15,1,630.0
7,280325,P16,1,800.0
