line,from_sku,to_sku,n,recent_n,last_seen,setup_hours,ttp_change,ffs_change,tpld_change,cspkr_change,conv_to_org,cinn_to_non_cinn,added_flavors,cip_req_after,in_changeover_table
P14,280166,120437,7,0,2023-02-17,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120437,120431,6,1,2024-12-19,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120437,280107,6,1,2024-12-01,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,120444,120448,6,2,2025-12-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120450,120451,6,2,2025-02-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120532,120451,6,2,2026-07-05,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,280107,120436,6,1,2024-10-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280166,120436,6,1,2025-03-24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120430,120448,5,0,2023-12-19,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120431,120433,5,2,2026-02-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120431,120465,5,0,2021-12-07,,,,,,,,,,False
P14,120448,120433,5,0,2022-08-15,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120448,120444,5,1,2025-02-06,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120448,120532,5,3,2025-12-16,1.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,True
P14,120451,120431,5,2,2026-01-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120453,120433,5,0,2024-07-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120465,120430,5,0,2020-02-17,,,,,,,,,,False
P14,120465,120433,5,0,2021-08-09,,,,,,,,,,False
P14,120465,280164,5,0,2021-03-03,,,,,,,,,,False
P14,120532,280090,5,2,2026-08-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120536,120532,5,0,2023-07-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280107,120437,5,0,2022-12-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280166,280204,5,0,2023-04-19,,,,,,,,,,False
P14,280236,280237,5,0,2022-11-15,,,,,,,,,,False
P14,280347,280345,5,5,2026-09-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280601,280602,5,5,2026-05-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280602,120430,5,5,2026-02-04,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
P14,120430,120531,4,1,2025-08-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120430,120536,4,0,2024-08-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120430,280164,4,1,2024-10-02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120431,120436,4,1,2024-10-18,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120431,280090,4,1,2025-02-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120433,280090,4,1,2025-06-12,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120436,120444,4,0,2024-02-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120437,120532,4,0,2023-12-15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120437,120536,4,2,2025-03-15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120444,120436,4,0,2020-11-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120445,120430,4,0,2021-08-22,,,,,,,,,,False
P14,120453,120451,4,0,2021-04-26,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120531,120436,4,0,2022-08-14,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120531,120532,4,2,2026-05-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120532,120534,4,1,2025-03-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120532,280164,4,1,2026-05-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120534,120536,4,2,2024-11-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120536,120431,4,1,2025-06-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120536,120435,4,0,2022-02-20,,,,,,,,,,False
P14,120536,120437,4,1,2024-11-25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,280090,120430,4,0,2024-08-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280090,120532,4,3,2026-08-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280164,120445,4,0,2021-04-27,,,,,,,,,,False
P14,280164,120450,4,3,2026-05-29,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,280166,120453,4,0,2021-01-13,1.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True
P14,280166,280478,4,4,2025-10-24,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
P14,280236,280239,4,0,2023-10-02,,,,,,,,,,False
P14,280237,280239,4,0,2023-01-04,,,,,,,,,,False
P14,280239,280166,4,0,2023-02-12,,,,,,,,,,False
P14,280345,280601,4,4,2026-05-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120430,120534,3,2,2024-12-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120431,280164,3,1,2024-11-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120433,120532,3,0,2022-01-17,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120433,280164,3,1,2024-10-14,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120433,280166,3,0,2020-02-23,1.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,True
P14,120435,120465,3,0,2022-06-24,,,,,,,,,,False
P14,120435,120536,3,0,2020-10-15,,,,,,,,,,False
P14,120436,120433,3,1,2025-08-18,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120436,120450,3,1,2025-03-27,1.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True
P14,120436,280236,3,0,2022-09-25,,,,,,,,,,False
P14,120437,120430,3,1,2025-04-04,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120437,120435,3,0,2022-06-23,,,,,,,,,,False
P14,120437,280204,3,0,2022-11-23,,,,,,,,,,False
P14,120444,120536,3,0,2024-02-06,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120444,280107,3,1,2025-10-19,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,120448,120431,3,1,2024-12-15,1.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,True
P14,120448,120450,3,0,2023-01-14,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,True
P14,120450,120430,3,1,2024-11-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120450,120454,3,0,2023-11-15,,,,,,,,,,False
P14,120450,120532,3,3,2026-06-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120450,280236,3,0,2023-02-10,,,,,,,,,,False
P14,120451,120430,3,0,2021-11-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120451,120454,3,0,2023-06-25,,,,,,,,,,False
P14,120451,120536,3,2,2026-06-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120454,120453,3,0,2023-11-16,,,,,,,,,,False
P14,120454,120532,3,0,2024-01-12,,,,,,,,,,False
P14,120465,120431,3,0,2022-08-18,,,,,,,,,,False
P14,120465,120437,3,0,2020-08-17,,,,,,,,,,False
P14,120465,120450,3,0,2022-06-25,,,,,,,,,,False
P14,120465,280166,3,0,2020-12-08,,,,,,,,,,False
P14,120532,120450,3,2,2026-07-06,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,120534,280164,3,2,2025-06-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120536,120430,3,1,2024-09-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120536,120436,3,1,2025-07-05,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120536,120444,3,0,2023-02-24,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120536,120465,3,0,2020-11-06,,,,,,,,,,False
P14,280013,120465,3,0,2021-04-10,,,,,,,,,,False
P14,280090,120450,3,2,2026-08-24,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,280090,280164,3,1,2025-02-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280107,280166,3,1,2025-10-20,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,280115,120451,3,0,2019-10-01,,,,,,,,,,False
P14,280164,120451,3,0,2021-06-07,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,280164,120453,3,3,2026-06-25,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,280164,120532,3,2,2025-06-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,280166,120444,3,0,2024-01-15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,280166,120448,3,0,2022-12-01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,280166,120531,3,1,2024-11-03,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
