sku,line,hrs,n_runs,share_of_sku_hrs,recent_hrs,recent_n_runs,recent_share_of_sku_hrs,rank_by_recent_hrs
280147,P10,102.0,3,0.06,,,,
280147,P11,307.15,8,0.182,,,,
280147,P13,277.56,6,0.164,,,,
280147,P15,229.11,4,0.136,,,,
280147,P16,230.97,7,0.137,,,,
280155,P09,80.0,2,0.526,,,,
280155,P13,48.0,2,0.316,,,,
280155,P16,24.0,1,0.158,,,,
280164,P14,799.0,40,0.578,320.0,13.0,0.748,1.0
280164,P12,583.1,34,0.422,108.0,4.0,0.252,2.0
280166,P18,918.0,18,0.072,708.0,13.0,0.282,1.0
280166,P14,6664.2,136,0.525,632.0,12.0,0.251,2.0
280166,P20,674.5,13,0.053,480.0,8.0,0.191,3.0
280166,P17,1313.0,25,0.103,450.0,9.0,0.179,4.0
280166,P09,1740.53,53,0.137,208.0,8.0,0.083,5.0
280166,P21,24.0,1,0.002,24.0,1.0,0.01,6.0
280166,P15,1348.12,31,0.106,12.0,1.0,0.005,7.0
280166,P12,12.0,1,0.001,,,,
280166,P16,8.0,1,0.001,,,,
280169,P20,1379.5,28,0.112,1041.5,20.0,0.388,1.0
280169,P11,1643.0,39,0.133,575.0,14.0,0.214,2.0
280169,P15,2323.0,38,0.188,312.0,5.0,0.116,3.0
280169,P22,258.0,5,0.021,258.0,5.0,0.096,4.0
280169,P09,2119.1,57,0.171,247.0,5.0,0.092,5.0
280169,P13,3447.17,65,0.279,115.0,3.0,0.043,6.0
280169,P16,787.0,15,0.064,70.0,3.0,0.026,7.0
280169,P17,279.75,4,0.023,68.75,2.0,0.026,8.0
280169,P10,134.0,2,0.011,,,,
280172,P09,742.1800000000001,16,0.275,,,,
280172,P10,75.0,2,0.028,,,,
280172,P11,502.75,13,0.187,,,,
280172,P13,717.77,18,0.266,,,,
280172,P15,457.0,15,0.17,,,,
280172,P16,200.0,7,0.074,,,,
280174,P12,84.0,3,1.0,,,,
280175,P15,344.01,10,1.0,,,,
280185,P15,317.58,3,0.543,,,,
280185,P16,267.63,3,0.457,,,,
280196,P09,102.0,1,0.286,,,,
280196,P11,197.2,2,0.554,,,,
280196,P15,29.67,1,0.083,,,,
280196,P16,27.25,1,0.077,,,,
280198,P09,774.9,17,0.322,,,,
280198,P11,431.42,8,0.179,,,,
280198,P13,400.5,6,0.166,,,,
280198,P15,372.5,7,0.155,,,,
280198,P16,430.3,8,0.179,,,,
280204,P14,658.5,20,0.908,,,,
280204,P15,67.0,3,0.092,,,,
280205,P09,269.85,5,0.221,,,,
280205,P10,128.75,3,0.105,,,,
280205,P11,100.97999999999999,5,0.083,,,,
280205,P13,55.62,2,0.046,,,,
280205,P15,339.45,10,0.278,,,,
280205,P16,326.0,8,0.267,,,,
280206,P09,761.75,13,0.038,,,,
280206,P10,11554.11,127,0.576,,,,
280206,P11,3188.75,41,0.159,,,,
280206,P12,8.0,1,0.0,,,,
280206,P13,2168.567,29,0.108,,,,
280206,P14,8.0,1,0.0,,,,
280206,P15,722.62,11,0.036,,,,
280206,P16,1640.78,20,0.082,,,,
280212,P18,729.0,14,0.156,490.0,8.0,0.324,1.0
280212,P21,288.5,6,0.062,288.5,6.0,0.191,2.0
280212,P11,470.62,17,0.1,208.62,6.0,0.138,3.0
280212,P22,168.0,4,0.036,168.0,4.0,0.111,4.0
280212,P16,456.0,12,0.097,157.0,4.0,0.104,5.0
280212,P13,1049.0,26,0.224,103.0,3.0,0.068,6.0
280212,P15,862.5,26,0.184,44.0,1.0,0.029,7.0
